asset_id,date,energy_kwh,availability_pct,avg_wind_speed_ms,irradiance_wm2,temperature_c,fault_code,fault_description
WT-001,2024-01-01,22065.8,89.8,9.3,,9.9,,
WT-001,2024-01-02,35736.4,98.2,10.7,,1.4,,
WT-001,2024-01-03,15075.7,96.7,8.1,,-1.1,,
WT-001,2024-01-04,37717.0,69.3,11.7,,3.8,E-2002,Power curve deviation — output 15% below expected at reference wind speed
WT-001,2024-01-05,19199.4,98.4,8.5,,-0.1,,
WT-001,2024-01-06,23147.4,93.5,9.2,,3.4,,
WT-001,2024-01-07,29663.8,78.6,10.8,,6.2,E-5001,Transformer oil temperature warning — 85°C threshold reached
WT-001,2024-01-08,18628.5,98.5,8.4,,2.9,,
WT-001,2024-01-09,45359.1,99.3,11.3,,9.9,,
WT-001,2024-01-10,6219.5,96.8,6.2,,0.9,,
WT-001,2024-01-11,31323.9,96.3,10.2,,1.6,,
WT-001,2024-01-12,21243.0,89.0,9.0,,7.7,,
WT-001,2024-01-13,17755.0,95.7,8.3,,0.5,,
WT-001,2024-01-14,32767.4,95.7,10.5,,2.0,,
WT-001,2024-01-15,28364.7,98.2,9.6,,7.2,,
WT-001,2024-01-16,28931.7,95.8,10.0,,8.8,,
WT-001,2024-01-17,32889.9,92.0,10.4,,6.2,,
WT-001,2024-01-18,21116.3,86.7,9.3,,6.7,,
WT-001,2024-01-19,35181.4,91.3,10.7,,7.7,,
WT-001,2024-01-20,3396.5,91.5,5.4,,5.9,,
WT-001,2024-01-21,46942.2,88.4,11.9,,-1.2,,
WT-001,2024-01-22,19633.0,98.2,8.5,,7.3,,
WT-001,2024-01-23,17700.4,98.4,8.4,,7.5,,
WT-001,2024-01-24,11836.1,72.7,8.3,,2.5,E-4001,Yaw system fault — nacelle heading error >10°
WT-001,2024-01-25,27619.7,95.2,9.9,,8.0,,
WT-001,2024-01-26,10548.1,100,7.1,,10.7,,
WT-001,2024-01-27,3339.8,89.4,5.4,,5.9,,
WT-001,2024-01-28,18493.6,99.1,8.3,,3.8,,
WT-001,2024-01-29,34849.3,99.4,10.3,,5.8,,
WT-001,2024-01-30,37141.8,77.1,12.5,,0.2,E-5002,Main circuit breaker trip — overvoltage protection activated
WT-001,2024-01-31,12152.0,100,7.3,,12.0,,
WT-001,2024-02-01,49479.7,94.0,12.9,,2.8,,
WT-001,2024-02-02,33026.3,90.9,10.6,,1.0,,
WT-001,2024-02-03,40555.5,95.7,11.0,,5.3,,
WT-001,2024-02-04,14834.7,92.8,8.2,,8.2,,
WT-001,2024-02-05,19154.3,91.1,8.7,,13.4,,
WT-001,2024-02-07,49914.7,97.9,12.5,,7.0,,
WT-001,2024-02-08,7930.7,95.4,6.7,,5.1,,
WT-001,2024-02-09,13577.4,93.1,7.8,,1.0,,
WT-001,2024-02-10,38131.8,94.7,11.2,,9.6,,
WT-001,2024-02-11,6544.6,93.7,6.4,,7.7,,
WT-001,2024-02-12,44597.4,92.2,12.0,,6.2,,
WT-001,2024-02-13,28791.9,95.5,9.9,,5.1,,
WT-001,2024-02-14,50949.9,99.9,15.1,,12.2,,
WT-001,2024-02-15,12233.9,95.7,7.6,,15.4,,
WT-001,2024-02-16,36800.7,82.5,11.3,,7.6,E-1003,Generator bearing vibration exceeds 8 mm/s RMS
WT-001,2024-02-17,28683.1,99.5,9.8,,2.3,,
WT-001,2024-02-18,16814.0,97.5,8.2,,5.0,,
WT-001,2024-02-19,47539.4,98.3,14.5,,7.2,,
WT-001,2024-02-20,9176.6,95.3,7.0,,11.6,,
WT-001,2024-02-21,22424.3,95.2,9.2,,5.2,,
WT-001,2024-02-22,48774.1,94.4,13.6,,13.5,,
WT-001,2024-02-23,35333.1,96.6,10.8,,6.5,,
WT-001,2024-02-24,37211.2,89.6,10.9,,2.7,,
WT-001,2024-02-25,22365.3,98.3,9.1,,2.7,,
WT-001,2024-02-26,21466.8,94.5,9.2,,1.5,,
WT-001,2024-02-27,38996.3,91.4,11.5,,7.4,,
WT-001,2024-02-28,5825.6,96.9,6.1,,10.9,,
WT-001,2024-02-29,7545.1,97.5,6.4,,2.9,,
WT-001,2024-03-01,28229.2,96.9,9.8,,14.7,,
WT-001,2024-03-02,23675.2,94.0,9.5,,9.8,,
WT-001,2024-03-03,34429.6,95.1,10.4,,9.6,,
WT-001,2024-03-04,8145.3,94.4,6.7,,8.1,,
WT-001,2024-03-05,19174.1,79.9,9.7,,21.0,E-2001,SCADA communication timeout — data gap logged
WT-001,2024-03-07,30157.3,100,10.1,,17.4,,
WT-001,2024-03-08,17650.1,93.6,8.5,,18.3,,
WT-001,2024-03-09,16838.4,95.5,8.4,,2.3,,
WT-001,2024-03-10,11996.0,96.0,7.5,,-1.1,,
